"ArticleUrl";"Type";"Title";"Intro";"Heading";"PublishDate";"Style";"IsPlus";"filename"
"https://www.spiegel.de/reise/fernweh/reise-fotos-aus-dem-wohnzimmer-ich-mach-mir-die-welt-wie-sie-mir-gefaellt-a-b69b4d0a-07c4-4dc0-bd15-ea8b9d4e78d1";"highlight";"Ich mach mir die Welt, wie sie mir gefällt";"Was macht eine Reisefotografin, wenn sie nicht mehr reisen kann? Erin Sullivan holt sich die weite Welt in die eigene Wohnung - sie verwandelt Decken zu Schluchten und Pfannkuchen in Canyons.";"Fernweh-Fotos aus dem Wohnzimmer";2020-05-02 12:13:48;"default";FALSE;"no150_highlight_free_2020-05-02H12-13-48.png"
"https://www.spiegel.de/wirtschaft/soziales/steinmeier-pocht-auf-mehr-geld-fuer-corona-helfer-a-a13d8c25-2b28-4b46-81d3-96568d465db0";"news";"Steinmeier pocht auf mehr Geld für Corona-Helfer";"Worte des Dankes reichen nicht: Bundespräsident Frank-Walter Steinmeier fordert eine bessere Bezahlung für alle, die während Corona \"\"den Laden am Laufen gehalten haben\"\".";"Bundespräsident";2020-07-12 18:06:02;"default";FALSE;"no151_news_free_2020-07-12H18-06-02.png"
"https://www.spiegel.de/sport/fussball/premier-league-gegen-vereinte-kraefte-verliert-der-fc-chelsea-fast-immer-a-21bbcb72-aa58-44d2-9830-f024be2aefbc";"news";"Gegen \"\"vereinte\"\" Kräfte verliert Chelsea fast immer";"Im Topspiel der englischen Premier League verlor Chelsea deutlich in Sheffield. Verpassen die Blues doch noch die Champions League, liegt das an ihrer kuriosen Bilanz gegen Teams mit dem Namenszusatz United.";"Premier League";2020-07-11 20:50:00;"default";FALSE;"no152_news_free_2020-07-11H20-50-00.png"
"https://www.spiegel.de/reise/haustausch-fuer-den-sommerurlaub-schwaben-statt-schweden-a-9a7f5c94-1bb0-4a33-a5b5-033c620781d2";"highlight";"Schwaben statt Schweden?";"Ob der Sommerurlaub im Lieblingsland klappt? Unklar. Und die besten Unterkünfte zwischen Sylt und Allgäu sind längst weg. Wie wäre es da mit einem Haustausch? Christoph Koch reist schon lange so - und erklärt, wie es geht.";"Haustausch für den Sommerurlaub";2020-05-14 07:57:02;"default";FALSE;"no153_highlight_free_2020-05-14H07-57-02.png"
"https://www.spiegel.de/panorama/leute/benjamin-keough-enkel-von-elvis-presley-mit-27-jahren-gestorben-a-32a4b4f3-239b-466b-a36e-df78c5bde091";"news";"Benjamin Keough mit 27 Jahren gestorben";"Lisa Marie Presley trauert um ihren Sohn Benjamin Keough. Der US-Amerikaner starb im Alter von 27 Jahren. Er war der Enkel von Elvis Presley.";"Enkel von Elvis Presley";2020-07-13 09:58:01;"default";FALSE;"no154_news_free_2020-07-13H09-58-01.png"
"https://www.spiegel.de/kultur/musik/musiker-kazik-das-war-keine-zensur-das-war-eine-kostenlose-promo-aktion-a-372ee3dd-b776-4580-9fd0-1a971d9961d2";"news";"\"\"Das war keine Zensur, das war eine kostenlose Promo-Aktion\"\"";"Ein regierungskritischer Song des Musikers Kazik verschwand aus einer polnischen Hitparade. Hier spricht er über die PiS-Regierung, Meinungsfreiheit und seine gespaltene Heimat.";"Polnischer Musiker Kazik";2020-07-11 18:03:20;"default";FALSE;"no155_news_free_2020-07-11H18-03-20.png"
"https://www.spiegel.de/netzwelt/web/jair-bolsonaro-hat-covid-19-der-todeswunsch-als-politische-kontaktanzeige-kolumne-a-fb2dc6d1-f378-467a-813e-9249297caf39";"opinion";"Der Todeswunsch als politische Kontaktanzeige";"Todeswünsche an prominente Reizfiguren in sozialen Medien verraten mehr über den Absender als über die Adressaten. Und auch wenn sie Hassspiralen in Gang setzen, ist das etwas anderes als die Ankündigung, jemanden zu töten.";"Jair Bolsonaro hat Covid-19";2020-07-08 12:59:00;"default";FALSE;"no156_opinion_free_2020-07-08H12-59-00.png"
"https://www.spiegel.de/wirtschaft/soziales/eu-ratspraesidentschaft-merkels-letzte-chance-a-0a1cc4f1-7dbe-4877-93a0-2f943d82952f";"opinion";"Merkels letzte Chance";"Über Jahre hat die Bundeskanzlerin die chronischen Probleme der EU und des Euro so weit wie möglich von sich geschoben. Gegen Ende ihrer politischen Karriere hat sie nun die Möglichkeit, alte Versäumnisse gutzumachen.";"EU-Ratspräsidentschaft";2020-06-28 08:35:13;"default";FALSE;"no157_opinion_free_2020-06-28H08-35-13.png"
"https://www.manager-magazin.de/ueber-uns/newsletter-der-tag-mit-dem-neuen-manager-magazin-a-451e4bc7-3bbd-45f6-81ea-7e0422fc6894";"opinion";"Der Tag mit zwei Razzien und einem Vorstandsbeben";"Jeden Abend fassen wir die wichtigsten Wirtschaftsnews des Tages zusammen. Heute beschäftigen wir uns mit zwei Razzien, einer Vorständin, die von ihren Mitarbeitern aus dem Amt gescheucht wurde - und ausnahmsweise kurz auch mit uns selbst.";"Newsletter \"\"Der Tag\"\"";2020-07-01 16:45:57;"default";FALSE;"no158_opinion_free_2020-07-01H16-45-57.png"
"https://www.spiegel.de/kultur/literatur/comics-aus-kinderperspektive-von-joe-sacco-bonde-and-bergting-und-esther-shakine-a-656b68f5-c5e7-4b5b-a29a-718dbf9e2ca0";"news";"Die Kraft der Kleinen";"Die Ungerechtigkeiten dieser Welt sind so groß, oft stumpfen wir einfach ab. Drei Graphic Novels entfachen jetzt die Wut neu - mittels der Kinderperspektive.";"Erwachsenencomics aus Kinderperspektive";2020-07-12 15:20:47;"default";FALSE;"no159_news_free_2020-07-12H15-20-47.png"
"https://www.spiegel.de/panorama/bildung/wegen-corona-fast-zehn-millionen-kinder-weltweit-koennten-nicht-zum-unterricht-zurueckkehren-a-9c80b122-685c-4fd4-85ef-8b776ff152d1";"news";"Fast zehn Millionen Kinder könnten nicht zum Unterricht zurückkehren";"Dass Kinder zur Schule gehen, war in einigen Ländern schon vor Corona nicht selbstverständlich. Nach den Schulschließungen ist das Risiko nun hoch, dass viele nicht zum Unterricht zurückkehren.";"Wegen Corona-Pandemie";2020-07-13 06:39:45;"default";FALSE;"no160_news_free_2020-07-13H06-39-45.png"
"https://www.spiegel.de/kultur/musik/haftbefehl-als-vorbild-fuer-migranten-weil-er-unsere-sprache-spricht-a-d8f8a878-7e61-4073-bca8-58784a49daf1";"opinion";"Weil er unsere Sprache spricht";"Auf den Rapper Haftbefehl können sich Straße, Bürgertum und Feuilleton gleichermaßen einigen. Warum der Aufstieg des Frankfurters für junge Migrantinnen so wichtig ist - trotz seiner sexistischen Sprache.";"Migrantische Symbolfigur Haftbefehl";2020-06-10 10:53:35;"default";FALSE;"no161_opinion_free_2020-06-10H10-53-35.png"
"https://www.manager-magazin.de/ueber-uns/commerzbank-daimler-ant-financial-das-war-der-mittwoch-8-7-2020-a-2e0e7d16-ebcb-4186-b144-945cce187aa5";"opinion";"Der Tag mit dem Höllenhund bei der Commerzbank";"Jeden Abend fassen wir die wichtigsten Wirtschaftsnews des Tages zusammen. Heute mit den Beratungen der Commerzbank, Daimlers Sparplänen und Plänen für einen Giga-Börsengang in Hongkong.";"Newsletter \"\"Der Tag\"\"";2020-07-08 16:04:00;"default";FALSE;"no162_opinion_free_2020-07-08H16-04-00.png"
"https://www.spiegel.de/stil/rezept-fuer-fettuccine-alfredo-a-f11d00d7-4ae2-4bc1-af53-99fbdffaca45";"highlight";"Heute gibt es Fettuccine Alfredo";"Sie brauchen ein schnelles Rezept, das alle satt und glücklich macht? Die Fettuccine Alfredo sind ein Klassiker und ganz einfach - wenn man den Trick für die Soße kennt. Unsere Köchin Verena Lugert verrät ihn.";"Nervennahrung";2020-05-18 09:31:04;"default";FALSE;"no163_highlight_free_2020-05-18H09-31-04.png"
"https://www.spiegel.de/karriere/auf-einmal-chefin-des-ehemaligen-chefs-kann-das-gutgehen-a-330b7771-046a-4711-a879-501bc5f5c8cd";"opinion";"Auf einmal Chefin des ehemaligen Chefs - kann das gut gehen?";"Was tun, wenn der Chef ins Team zurückversetzt wird und man selbst die Teamleitung bekommt? Karrierecoachin Carmen Michaelis weiß Rat für die heikle Situation.";"Tipps von der Karriereberaterin";2020-05-29 09:08:12;"default";FALSE;"no164_opinion_free_2020-05-29H09-08-12.png"
"https://www.spiegel.de/harvard/fuehrung/agile-methoden-wie-prozesse-erfolgreich-veraendert-werden-a-00000000-0002-0001-0000-000146757099";"highlight";"Schnell und flexibel";"Agile Methoden haben die Arbeit in vielen IT-Abteilungen revolutioniert. Nun fassen sie Fuß in Marketing, Vertrieb und sogar im Topmanagement. Die Erfinder des Konzepts erklären, wie Prozesse erfolgreich verändert werden.";"Unternehmensführung";2020-06-18 07:49:06;"default";FALSE;"no165_highlight_free_2020-06-18H07-49-06.png"
"https://www.spiegel.de/politik/deutschland/wir-ham-s-ja-a-f6c99ef3-a57f-4bb1-98e3-2795b2873dbc";"opinion";"Wir ham's ja";"Olaf Scholz hat Deutschlands mühsam erworbene Finanzkultur zertrümmert. Und erkauft sich mit Steuergeld die Kanzlerkandidatur.";"Scholz und die Kanzlerschaft";2020-07-06 11:15:38;"default";FALSE;"no166_opinion_free_2020-07-06H11-15-38.png"
